"bc", "systemA", "2018-08-30 11:45:21","location=MachineLocation","","Desc"
"cx", "systemA", "2018-08-30 11:45:21","","param:100",""
"cy", "systemA", "2018-08-30 11:45:21","","param:5",""
"cz", "systemA", "2018-08-30 11:45:21","","param:10",""
"mspeed", "systemA", "2018-08-30 11:45:21","","param:1600",""
"mspeed", "systemA", "2018-08-30 11:45:31","","param:1550",""
"mspeed", "systemA", "2018-08-30 11:45:41","","param:1800",""
"mspeed", "systemA", "2018-08-30 11:45:51","","param:1200",""
"mspeed", "systemA", "2018-08-30 11:46:11","","param:1400",""
"mnumber", "systemA", "2018-08-30 11:45:21","","param:6",""
"mnumber", "systemA", "2018-08-30 11:45:31","","param:5",""
"mnumber", "systemA", "2018-08-30 11:45:41","","param:8",""
"be", "systemA", "2018-08-30 11:46:21","location=MachineLocation","","Desc"
"o1", "systemA", "2018-08-30 11:46:40","location=MachineLocation","value:1","Desc"
"o2", "systemA", "2018-08-30 11:46:43","location=MachineLocation","value:1","Desc"
"mspeed", "systemA", "2018-08-30 11:46:22","","param:1550",""
"mspeed", "systemA", "2018-08-30 11:46:32","","param:1520",""
"mspeed", "systemA", "2018-08-30 11:46:42","","param:1490",""
"mspeed", "systemA", "2018-08-30 11:46:52","","param:1470",""
"mspeed", "systemA", "2018-08-30 11:47:02","","param:1500",""
"mnumber", "systemA", "2018-08-30 11:46:32","","param:6",""
"mnumber", "systemA", "2018-08-30 11:46:42","","param:5",""
"mnumber", "systemA", "2018-08-30 11:46:52","","param:8",""
"s1", "systemA", "2018-08-30 11:47:10","location=MachineLocation","stop:1","Desc"
"ee", "systemA", "2018-08-30 11:47:20","location=MachineLocation","","Desc"
"s1", "systemA", "2018-08-30 11:47:21","location=MachineLocation","stop:0","Desc"
"bc", "systemA", "2018-08-30 11:47:22","location=MachineLocation","","Desc"
"cx", "systemA", "2018-08-30 11:47:24","","param:20",""
"cy", "systemA", "2018-08-30 11:47:24","","param:5",""
"cz", "systemA", "2018-08-30 11:47:24","","param:1",""
"mspeed", "systemA", "2018-08-30 11:47:25","","param:1500",""
"mspeed", "systemA", "2018-08-30 11:47:35","","param:1820",""
"mspeed", "systemA", "2018-08-30 11:47:45","","param:1750",""
"mspeed", "systemA", "2018-08-30 11:47:55","","param:1820",""
"mspeed", "systemA", "2018-08-30 11:48:05","","param:1400",""
"mspeed", "systemA", "2018-08-30 11:48:11","","param:1300",""
"mspeed", "systemA", "2018-08-30 11:48:16","","param:1500",""
"mspeed", "systemA", "2018-08-30 11:48:20","","param:1555",""
